127.0.0.1 - - [06/Jul/2019:16:54:53 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:54:57 +0530] "GET /shop/ HTTP/1.1" 200 1613
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:54:57 +0530] "GET /shop/resources/css/main.css;jsessionid=D09615099BDC34166228345A172E72D8 HTTP/1.1" 200 4464
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:55:52 +0530] "GET /shop/ HTTP/1.1" 200 1575
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:55:52 +0530] "GET /shop/resources/css/main.css HTTP/1.1" 200 4464
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:55:54 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:57:58 +0530] "GET /shop/ HTTP/1.1" 200 1575
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:58:04 +0530] "GET /shop/ HTTP/1.1" 200 1575
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:58:06 +0530] "GET /shop/ HTTP/1.1" 200 1575
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:58:06 +0530] "GET /shop/ HTTP/1.1" 200 1575
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:58:25 +0530] "GET /shop/ HTTP/1.1" 200 1577
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:59:29 +0530] "GET /shop/ HTTP/1.1" 200 1577
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:59:30 +0530] "GET /shop/resources/css/main.css HTTP/1.1" 200 4720
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:59:36 +0530] "GET /shop/ HTTP/1.1" 200 1577
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:59:39 +0530] "GET /shop/ HTTP/1.1" 200 1577
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:59:57 +0530] "GET /shop/ HTTP/1.1" 200 1577
0:0:0:0:0:0:0:1 - - [06/Jul/2019:16:59:58 +0530] "GET /shop/resources/css/main.css HTTP/1.1" 200 4720
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:01:58 +0530] "GET /shop/ HTTP/1.1" 200 1617
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:01:58 +0530] "GET /shop/resources/css/main.css HTTP/1.1" 200 4762
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:03:44 +0530] "GET /shop/ HTTP/1.1" 200 1617
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:03:44 +0530] "GET /shop/resources/css/main.css HTTP/1.1" 200 4762
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:05:54 +0530] "GET /shop/ HTTP/1.1" 200 2229
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:05:54 +0530] "GET /shop/resources/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:06:28 +0530] "GET /shop/ HTTP/1.1" 200 2155
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:06:28 +0530] "GET /shop/resources/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:06:30 +0530] "GET /shop/ HTTP/1.1" 200 2155
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:08:21 +0530] "GET /shop/ HTTP/1.1" 200 2155
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:08:21 +0530] "GET /shop/resources/css/main.css HTTP/1.1" 200 5435
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:12:20 +0530] "GET /shop/ HTTP/1.1" 200 2155
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:12:20 +0530] "GET /shop/resources/css/main.css HTTP/1.1" 200 6654
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:12:48 +0530] "GET /shop/ HTTP/1.1" 200 1904
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:12:48 +0530] "GET /shop/resources/css/main.css HTTP/1.1" 200 6654
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:13:05 +0530] "GET /shop/ HTTP/1.1" 200 1904
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:13:05 +0530] "GET /shop/resources/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:15:42 +0530] "GET /shop/ HTTP/1.1" 200 1964
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:15:42 +0530] "GET /shop/resources/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:15:45 +0530] "GET /shop/ HTTP/1.1" 200 1964
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:16:43 +0530] "GET /shop/ HTTP/1.1" 200 1964
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:16:43 +0530] "GET /shop/resources/css/main.css HTTP/1.1" 200 6922
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:17:11 +0530] "GET /shop/ HTTP/1.1" 200 1964
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:17:11 +0530] "GET /shop/resources/css/main.css HTTP/1.1" 200 6921
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:17:21 +0530] "GET /shop/ HTTP/1.1" 200 1964
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:17:21 +0530] "GET /shop/resources/css/main.css HTTP/1.1" 200 6655
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:17:25 +0530] "POST /shop/ HTTP/1.1" 405 1115
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:22:26 +0530] "GET /shop/ HTTP/1.1" 200 1964
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:22:26 +0530] "GET /shop/resources/css/main.css HTTP/1.1" 200 6599
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:22:28 +0530] "GET /shop/ HTTP/1.1" 200 1964
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:22:28 +0530] "GET /shop/resources/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:22:28 +0530] "GET /shop/ HTTP/1.1" 200 1964
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:22:28 +0530] "GET /shop/ HTTP/1.1" 200 1964
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:24:07 +0530] "GET /shop/ HTTP/1.1" 200 1785
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:24:07 +0530] "GET /shop/resources/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:25:10 +0530] "GET /shop/ HTTP/1.1" 200 1785
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:25:10 +0530] "GET /shop/resources/css/main.css HTTP/1.1" 200 6600
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:25:42 +0530] "GET /shop/ HTTP/1.1" 200 1785
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:25:42 +0530] "GET /shop/resources/css/main.css HTTP/1.1" 200 6600
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:26:16 +0530] "GET /shop/ HTTP/1.1" 200 1785
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:26:16 +0530] "GET /shop/resources/css/main.css HTTP/1.1" 200 6617
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:26:48 +0530] "GET /shop/ HTTP/1.1" 200 1785
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:26:48 +0530] "GET /shop/resources/css/main.css HTTP/1.1" 200 6637
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:26:49 +0530] "GET /shop/ HTTP/1.1" 200 1785
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:26:49 +0530] "GET /shop/resources/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:26:50 +0530] "GET /shop/ HTTP/1.1" 200 1785
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:26:50 +0530] "GET /shop/resources/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:28:55 +0530] "GET /shop/ HTTP/1.1" 200 1887
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:28:55 +0530] "GET /shop/resources/css/main.css HTTP/1.1" 200 6602
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:29:28 +0530] "GET /shop/ HTTP/1.1" 200 1944
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:29:28 +0530] "GET /shop/resources/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:31:20 +0530] "GET /shop/ HTTP/1.1" 200 1944
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:31:20 +0530] "GET /shop/resources/css/main.css HTTP/1.1" 200 7519
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:32:22 +0530] "GET /shop/ HTTP/1.1" 200 1944
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:32:22 +0530] "GET /shop/resources/css/main.css HTTP/1.1" 200 6167
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:33:25 +0530] "GET /shop/ HTTP/1.1" 200 1944
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:33:25 +0530] "GET /shop/resources/css/main.css HTTP/1.1" 200 6502
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:33:54 +0530] "GET /shop/ HTTP/1.1" 200 1944
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:33:54 +0530] "GET /shop/resources/css/main.css HTTP/1.1" 200 6470
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:34:42 +0530] "GET /shop/ HTTP/1.1" 200 1944
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:34:42 +0530] "GET /shop/resources/css/main.css HTTP/1.1" 200 6684
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:34:46 +0530] "GET /shop/ HTTP/1.1" 200 1944
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:34:47 +0530] "GET /shop/resources/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:36:51 +0530] "GET /shop/ HTTP/1.1" 200 1855
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:36:51 +0530] "GET /shop/resources/css/main.css HTTP/1.1" 200 6659
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:37:58 +0530] "GET /shop/ HTTP/1.1" 200 1439
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:37:58 +0530] "GET /shop/resources/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:42:01 +0530] "GET /shop/ HTTP/1.1" 200 1441
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:42:02 +0530] "GET /shop/resources/css/signUp.css HTTP/1.1" 200 3022
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:43:06 +0530] "GET /shop/ HTTP/1.1" 200 1441
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:43:06 +0530] "GET /shop/resources/css/signUp.css HTTP/1.1" 200 3108
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:44:57 +0530] "GET /shop/ HTTP/1.1" 200 1853
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:44:57 +0530] "GET /shop/resources/css/main.css HTTP/1.1" 200 6449
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:45:00 +0530] "POST /shop/ HTTP/1.1" 405 1115
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:45:03 +0530] "GET /shop/resources/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:45:54 +0530] "GET /shop/ HTTP/1.1" 200 1853
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:45:54 +0530] "GET /shop/resources/css/main.css HTTP/1.1" 200 6631
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:46:42 +0530] "GET /shop/ HTTP/1.1" 200 1855
0:0:0:0:0:0:0:1 - - [06/Jul/2019:17:46:42 +0530] "GET /shop/resources/css/main.css HTTP/1.1" 200 6631
